PageID,NPC,Text,Button1,Next1,Button2,Next2,Button3,Next3,Button4,Next4,Action,ActionData,Condition
0101,Child,Will ya' buy me some sweets?,Yes,0102,No,0103,,,,,,,
0102,Child,You can buy them from the Merchant.,OK,0104,,,,,,,NEXT_SCAN;START_QUEST,Buy Sweets,
0103,Child,"Okay then, leave me alone!",Bye,0101,,,,,,,NEXT_SCAN,,
0104,Child,Do you have any sweets?,Yes,0105,No,0103,,,,,,,
0105,Child,Show me!,Choose Item,0106,,,,,,,DROPDOWN_INVENTORY,Sweets-0106;Other-0103,
0106,Child,"I heard the Messenger telling a password to the Warrior. It was something like ""...Pie"".",Thanks,0107,,,,,,,NEXT_SCAN;REMOVE_ITEM,Sweets,
0107,Child,The child can't be seen.,OK,0107,,,,,,,NEXT_SCAN,,
0201,Merchant,Hello customer! You wanna buy something?,Yes,0202,No,0203,,,,,,,
0202,Merchant,I have a few things to sell. Which one do you prefer?,Sweets,0204,Old Scroll,0205,,,,,,,
0203,Merchant,"Okay, but do you have some free time? I would be happy if you could get me some unique ingredients.",No I gotta go,0201,Yeah,0206,,,,,NEXT_SCAN,,
0204,Merchant,Okay it will be a gold coin. Choose one of your items from your inventory.,Choose Item,0207,,,,,,,DROPDOWN_INVENTORY,Gold Coin-0207;Other-0208,
0205,Merchant,Okay it will be a Priclys Feather. Choose one of your items from your inventory.,Choose Item,0209,,,,,,,DROPDOWN_INVENTORY,Priclys Feather-0209;Other-0208,
0206,Merchant,So if you could get me a pufferfish I would be happy. Bye bye.,OK,0210,,,,,,,NEXT_SCAN,,
0207,Merchant,Here are some sweets for ya! You've got some spare time?,No I gotta go,0201,Yeah,0206,,,,,NEXT_SCAN;REMOVE_ITEM;ADD_ITEM,Gold Coin;Sweets,
0208,Merchant,I don't need that!,OK,0201,,,,,,,NEXT_SCAN,,
0209,Merchant,Here is the old scroll. You've got some spare time?,No I gotta go,0201,Yeah,0206,,,,,NEXT_SCAN;REMOVE_ITEM;ADD_ITEM,Priclys Feather;Old Scroll,
0210,Merchant,Do you have my fish?,No,0211,Yes,0212,,,,,,,
0211,Merchant,At least you wanna buy something?,No I gotta go,0201,Yup,0202,,,,,NEXT_SCAN,,
0212,Merchant,Can you give them to me?,Choose Item,0213,,,,,,,DROPDOWN_INVENTORY,Blobfish-0213;Other-0208,
0213,Merchant,Okay. Nice. I don't have much to share but I can tell you that at the troll's riddle the letters connect to numbers somehow as I heard.,Bye,0201,,,,,,,NEXT_SCAN;REMOVE_ITEM,Blobfish,
0301,Guard,Hello Boy. Are you interested in how this whole world works?,Yes,0302,No just wandering,0303,,,,,,,
0302,Guard,So let me tell you! This place is made out of different sections. We are in the Village Centre part. There are 3 other sections...,What are they,0304,That's enough,0306,,,,,,,
0303,Guard,And do you know where you are?,Not really,0302,Yes,0306,,,,,,,
0304,Guard,"The Grove, Bridge, and the Castle Entrance. At each section there are one or more people to talk with. You can get to each part easily but the castle is guarded by the Troll.",Who,0305,I don't need more!,0306,,,,,,,
